PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,label 1,label 2,label 3,label 4
-11.53934851,-3.926534058,-1.775572763,-1.929377416,-4.257928993,2.990721818,-3.17237694,-2.461179007,-3.89293163,-1.424449706,-2.31827357,1.539285175,0.770040709,-1.374563915,-2.01066831,-0.979229145,-1.147310317,0.747641901,-0.947708928,-1.53692264,0.314078933,0.413527737,0.884550932,0.516152618,0.168845586,10,1,1,2
-10.82094618,-2.198891687,0.880893845,-3.186350584,-4.414851504,-1.392843168,4.618136898,-3.468386636,2.987196067,-1.905377982,-2.871417026,2.646334705,-1.716665821,-0.972634799,0.309201489,0.582991372,2.807512621,-0.552478104,-1.170662903,0.674513517,-1.5250159,-1.654740184,-1.180754232,1.277795157,-0.029477526,10,1,2,2
-9.708461344,-5.748383155,-10.26304797,13.2377683,6.913590491,3.741326999,8.336543491,-3.136182104,-4.398699131,0.321291427,5.411070292,0.275872547,0.033946459,-0.539911404,0.528918012,0.944618303,-0.055304794,-0.136271173,-1.170528131,0.07361171,0.010272672,1.433825087,-0.225746521,1.736881376,0.522990602,10,1,3,2
-11.07113998,-7.484147456,-10.2577455,7.169207658,6.231380042,3.88426115,8.164593659,-3.609907939,-4.386434734,2.301782419,6.424758795,-0.650753282,-1.092045174,1.10426771,-3.048198204,-1.76868727,-0.583227129,1.738011814,0.30744241,0.334614383,-1.674830119,-0.928227055,0.644044334,1.067199906,-0.705180908,10,1,4,2
-10.13506065,-7.537497542,1.120161851,4.251632756,-3.222650979,7.557879028,-2.745695666,1.083162505,-0.937467345,-1.199640674,0.886686978,0.809877874,0.880195419,2.783410756,2.323361702,0.79537647,0.143873585,-0.336152061,-0.648355035,-0.554975732,1.442365292,0.5349996,-0.788196807,-0.23450249,0.560387495,10,1,5,2
-10.49003279,-4.480355368,-1.954629258,-1.114028883,-2.766276019,3.951431558,-2.314753328,-0.415517694,-4.32347942,0.193774801,-3.684108731,-1.083694778,2.216781801,-1.702486875,-0.548530611,-2.804171892,-1.880747106,0.986536293,2.200985723,-0.341046373,2.178836897,0.524202728,0.138908424,0.635683173,-1.111129087,10,2,1,2
-10.08876978,-3.972038137,-2.525763163,-4.281979837,-6.871620979,1.567166722,2.650440203,-3.389773874,-2.212580971,-2.299465604,-4.862571884,1.599415004,1.020684379,-2.473399245,-3.659521592,1.162241822,-2.04426779,-0.265542524,-0.3995294,-1.165271697,1.230875068,-0.411643753,-0.785515115,0.678107719,0.51234571,10,2,2,2
-11.06904499,-6.641083092,1.551703566,0.709635335,-2.86475546,6.317402544,-3.517601369,-1.666551785,-0.277636457,0.90698389,-1.559884568,-1.528374317,1.282361892,2.85964922,-0.885256721,0.952293779,-1.93576842,0.808127997,1.334145836,0.370037049,-0.930793321,0.856184756,-0.937529055,-0.22969089,-0.848552261,10,2,3,2
-10.17783707,-7.583863159,-9.018094681,19.89225708,2.967807824,3.677332669,6.731433067,-1.985290863,-3.864454629,-0.443900744,1.133909556,0.702443628,0.962791822,-1.583159715,5.636754656,3.107364537,-1.217144006,-1.852417036,0.380250416,0.098021913,0.009722596,0.418719453,-0.334144509,-0.866852732,1.137650269,10,2,4,2
-7.31295483,-4.382670674,1.137900794,3.581704999,0.323817429,3.504224168,-0.189847332,-2.824519705,-2.431042586,3.927437103,-3.450608377,-0.270566889,-0.394258788,-0.916505925,2.574946401,1.350904465,1.303320095,-1.088506528,0.255840936,-1.863826043,2.010081264,0.479933023,0.480711428,-0.513595197,0.145648076,10,2,5,2
