PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,label 1,label 2,label 3,label 4
-3.148717634,-12.66254459,-0.897573725,2.347304515,1.94890349,5.266788629,-11.88755563,2.978737771,-1.746314766,7.582469564,10,1,1,2
-5.743406393,-6.500951678,-0.535977764,-5.646186467,-2.898134571,-0.258092768,-0.308144892,-3.3695297,-7.231292642,0.205492188,10,1,2,2
-1.747222868,-7.248868689,8.583125492,11.61489759,-14.24362587,16.64926705,16.18959926,1.063741065,3.492315214,2.239803364,10,1,3,2
-6.555444933,-8.264765377,8.808537514,5.28048938,-7.960410956,15.26790646,9.878045289,-3.210464154,-2.203314203,-0.791127934,10,1,4,2
-0.89392734,-13.84407814,-2.969598209,3.022105664,-6.367934769,6.766789719,-7.836387534,-3.559698487,6.148535374,-0.055229831,10,1,5,2
-1.821552346,-10.70413734,1.84473394,2.806295767,3.362310155,3.347948936,-10.96874088,6.295732246,-4.583628844,10.49383908,10,2,1,2
-2.280863462,-10.37921651,2.607622073,-8.754919112,-1.43295424,4.191916546,-3.234644386,3.255430325,-7.466604482,0.57390381,10,2,2,2
-4.023717665,-12.45119931,1.128313378,-1.303078934,-0.604533057,3.946698019,-8.584021629,3.240070908,1.957015136,-2.336489897,10,2,3,2
-4.319270635,-10.47062279,1.313691544,8.779620798,-10.45186106,19.87550176,20.68979514,3.606389998,4.002876548,6.536280856,10,2,4,2
0.760678953,-6.111634858,1.912033198,1.820114658,-5.595823246,4.437710719,1.190751358,8.579003018,-1.912587414,-2.352038605,10,2,5,2
-1.976971939,-10.32724514,1.316566549,-11.84859435,-2.270953927,-0.489210641,-1.290126133,4.023328799,-9.675197412,-1.827825681,10,3,1,2
-2.944896989,-9.834949916,-1.089131016,-7.651935781,-2.40574789,1.382856563,-1.950769631,0.041223002,-7.373095812,1.960993831,10,3,2,2
-4.306849708,-5.7187319,8.444073941,4.808984431,-6.95674009,13.88294106,14.80234658,0.078161733,-3.059295276,0.727583608,10,3,3,2
-6.575262481,-15.72517092,-4.887916391,2.130530082,-6.225503247,4.114241017,-7.252784154,-11.29563932,8.695070576,-0.397098865,10,3,4,2
-1.524441643,-4.14444199,6.541798683,3.842115346,-6.783535321,7.412490802,9.595648987,2.839853816,-1.300330607,-0.85986165,10,3,5,2
-3.467848322,-10.62786385,3.922241794,-4.115748814,-0.109814213,3.01006211,0.059191926,3.153615821,-10.06393125,-8.900201825,10,4,1,2
-3.232217486,-7.683865609,-6.081876497,-10.28310881,-3.273985405,-0.402416283,3.896298937,-4.401010463,-8.136191356,1.992710137,10,4,2,2
-8.401217455,-12.55824089,4.161249288,12.63790125,-8.627378735,19.31390269,21.34631925,7.231686455,1.774705743,3.207189451,10,4,3,2
-6.32599403,-9.098303044,2.170214483,2.98908877,-7.927751593,5.369712995,0.216713718,-3.907289033,4.923888992,2.496009938,10,4,4,2
-8.339994171,-4.755384351,5.632534984,10.28244331,-12.07886838,16.63370724,17.3659425,2.409664364,1.743647405,7.735741867,10,4,5,2
8.976425449,-4.887471063,2.472894775,-3.528881029,-1.86416712,4.528842431,-2.255999361,-3.427746079,-2.119447075,-2.402671377,10,5,1,2
8.859068001,-3.891741671,2.191923272,-0.956384391,-1.487460381,-0.63478192,-0.947224027,-2.656970865,-5.714768645,-1.22375325,10,5,2,2
6.424900519,-11.3590585,0.864565816,0.239850798,-0.535899004,1.371852038,-11.61550848,-1.54360356,0.773927716,-3.148212439,10,5,3,2
7.328133679,-8.736939745,0.503504872,6.195634133,-8.734184271,13.00989859,11.65145728,0.324795928,-0.248276167,0.115433126,10,5,4,2
8.770533313,-6.180617919,3.374598199,4.393649851,-6.82465673,8.893540396,10.45178105,-1.369504425,-1.035221142,-0.576365467,10,5,5,2
-3.12207196,-10.5327074,-1.542217835,-0.29466461,0.485579876,0.595951343,-2.994101556,6.57485942,-9.173112772,-3.85365906,11,1,1,2
1.37513899,-7.718296748,1.177430405,-1.870107639,-2.356291129,0.583504184,-4.079954506,13.24472229,-6.891971104,-8.30653092,11,1,2,2
1.685330732,-7.542950994,8.55788078,-0.55962148,17.6141892,-2.147645882,8.282061612,0.863544063,9.38907651,-3.980062862,11,1,3,2
1.2428365,-7.020894815,6.377009669,2.264430222,19.20896415,-1.602555018,4.086586605,2.357259087,3.618892014,2.346944456,11,1,4,2
-0.096232903,-4.582264222,8.477012839,-1.557051037,6.437710955,-2.498786816,1.7073313,5.201637273,-3.455152462,-0.288004492,11,1,5,2
2.779284659,-13.83780239,-0.902130194,3.448704962,-4.220573876,4.789612275,-12.4313701,13.03615042,2.726944774,0.879778153,11,2,1,2
1.876652985,-8.050487702,-3.95359875,2.095233602,-0.953916867,-0.567489207,-1.330085043,4.232625969,-8.134396756,-1.348695494,11,2,2,2
2.884845138,0.476948354,-0.676488262,-3.088251689,-0.05026523,-2.140715297,-1.164965943,-0.908184384,3.64961633,3.24941961,11,2,3,2
3.732027871,1.694263095,-2.367232399,1.662123565,2.24761034,1.50080049,-1.564092868,6.480796845,-3.056005897,0.882907377,11,2,4,2
4.863403378,2.369731541,5.464239121,-4.422853322,9.165815814,-5.195746369,3.392999213,4.717350838,0.590663777,-2.32370746,11,2,5,2
9.35875851,-4.435106905,1.227279945,-4.164777253,-3.97495958,2.117707406,0.865052057,0.032227981,-3.246839487,-9.147684918,11,3,1,2
10.91104674,-3.289827369,-2.701519173,0.976478856,-1.063998284,-0.158518491,-2.793673688,-0.792435272,-2.879118876,-1.989836075,11,3,2,2
11.50304462,-5.732900061,7.832108453,0.484222417,14.66467897,-0.151753992,2.055241679,0.141144769,3.537307672,-2.591541334,11,3,3,2
