PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,Label1,label 2,Label3,label 4
-11.53934851,-3.926534058,-1.775572763,-1.929377416,-4.257928992,2.990721818,-3.17237694,-2.461179008,-3.892931629,-1.424449703,-2.318273563,1.539285166,0.770040758,-1.374563532,-2.010668292,-0.979228966,-1.147312223,0.747642065,-0.947713009,-1.536934662,0.314040209,0.413677384,0.885028274,0.516296953,0.168412057,10,1,1,2
-10.82094618,-2.198891687,0.880893845,-3.186350584,-4.414851504,-1.392843168,4.618136899,-3.468386632,2.987196074,-1.905377982,-2.871417037,2.646334631,-1.716666719,-0.972633538,0.309201585,0.582996856,2.80750367,-0.552438146,-1.170584726,0.674739847,-1.525206012,-1.654684724,-1.182010299,1.277409596,-0.026512133,10,1,2,2
-9.708461344,-5.748383155,-10.26304797,13.2377683,6.913590491,3.741326999,8.336543492,-3.136182103,-4.398699133,0.321291426,5.411070297,0.275872533,0.033946172,-0.539911037,0.5289179,0.944619371,-0.055304919,-0.136266448,-1.17051373,0.073657763,0.010296236,1.433769836,-0.226347269,1.736929975,0.524158328,10,1,3,2
-11.07113998,-7.484147456,-10.2577455,7.169207658,6.231380042,3.88426115,8.16459366,-3.609907938,-4.386434734,2.301782422,6.424758802,-0.650753316,-1.092045174,1.104267804,-3.048198384,-1.768685466,-0.583225959,1.738011609,0.307446679,0.334629174,-1.67456272,-0.928427207,0.643307315,1.06731519,-0.703868952,10,1,4,2
-10.13506065,-7.537497542,1.120161851,4.251632756,-3.222650978,7.557879028,-2.745695667,1.083162506,-0.937467341,-1.199640675,0.88668697,0.809877882,0.88019547,2.783410965,2.323361528,0.795376271,0.143871924,-0.33614736,-0.648357725,-0.555014248,1.442285595,0.535015724,-0.788064047,-0.234843421,0.5599131,10,1,5,2
-10.49003279,-4.480355368,-1.954629258,-1.114028883,-2.766276019,3.951431558,-2.314753328,-0.415517694,-4.323479418,0.193774806,-3.684108725,-1.083694813,2.216781689,-1.702486266,-0.548530643,-2.804170002,-1.880749239,0.986548644,2.201004813,-0.341003841,2.178842511,0.524298777,0.138682038,0.635788726,-1.110398736,10,2,1,2
-10.08876978,-3.972038137,-2.525763163,-4.281979837,-6.87162098,1.567166722,2.650440204,-3.389773872,-2.212580968,-2.299465605,-4.862571891,1.599414967,1.020683849,-2.47339862,-3.659521583,1.162244794,-2.044273271,-0.26551733,-0.399485399,-1.165137886,1.230756222,-0.411633026,-0.78622761,0.677885747,0.514063643,10,2,2,2
-11.06904499,-6.641083092,1.551703566,0.709635335,-2.86475546,6.317402544,-3.517601369,-1.666551784,-0.277636455,0.906983888,-1.559884571,-1.528374324,1.282361739,2.85964976,-0.885256826,0.952294406,-1.935771884,0.808131084,1.334154681,0.370065478,-0.930967769,0.856211538,-0.937469787,-0.230053837,-0.84792451,10,2,3,2
-10.17783707,-7.583863159,-9.018094681,19.89225708,2.967807824,3.677332669,6.731433066,-1.985290863,-3.864454621,-0.443900745,1.13390954,0.702443617,0.962791608,-1.583158777,5.636754813,3.107365642,-1.217152414,-1.852396376,0.380272669,0.098073501,0.009290338,0.418946958,-0.333592942,-0.867400871,1.137694219,10,2,4,2
-7.31295483,-4.382670674,1.137900794,3.581704999,0.323817429,3.504224168,-0.189847332,-2.824519704,-2.431042587,3.927437102,-3.450608374,-0.270566881,-0.3942588,-0.916505907,2.574946249,1.350904143,1.303320956,-1.088506906,0.255836077,-1.863846006,2.010110503,0.47984995,0.480585531,-0.513546794,0.145710181,10,2,5,2
-11.05258979,-5.563305531,-0.42971239,-4.702104955,-7.009731366,-0.580153501,4.002139844,-5.207090103,0.87893803,-1.284061196,-3.95509153,2.321964089,0.213805699,-0.797797757,-3.701730202,4.903407805,-1.737626176,1.383231505,-0.116796177,-0.25076841,-0.720042878,1.278946326,0.231098052,-0.711778152,-1.582798082,10,3,1,2
